STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM
TEXAS,Alice Police Department ,Municipality,Jim Wells County,Task Force Model,12/17/2025,link,
TEXAS,Anderson County Sheriff's Office,County,Anderson County,Warrant Service Officer,6/18/2025,link,
TEXAS,Andrews County Sheriff's Office ,County,Andrews County ,Warrant Service Officer,11/14/2025,link,
TEXAS,Angelina County Sheriff's Office,County,Angelina County,Warrant Service Officer,6/18/2025,link,
TEXAS,Aransas County Sheriff's Office,County,Aransas County ,Jail Enforcement Model,6/8/2020,link,link
TEXAS,Archer County Sheriff's Office,County ,Archer County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Armstrong County Sheriff's Office,County,Armstrong County,Task Force Model,1/26/2026,link,
TEXAS,Arp Police Department ,Municipality,Smith County ,Task Force Model,11/14/2025,link,
TEXAS,Atascosa County Sheriff's Office,County,Atascosa County,Task Force Model,5/8/2025,link,
TEXAS,Austin County Sheriff's Office,County,Austin County,Warrant Service Officer,4/16/2025,link,
TEXAS,Bailey County Sheriff's Office,County,Bailey County,Warrant Service Officer,7/31/2025,link,
TEXAS,Balcones Heights Police Department,Municipality,Bexar County,Task Force Model,1/7/2026,link,
TEXAS,Bastrop County Sheriff's Office ,County ,Bastrop County ,Task Force Model,12/8/2025,link,
TEXAS,Bastrop County Sheriff's Office ,County ,Bastrop County ,Warrant Service Officer,9/22/2025,link,
TEXAS,Bee County Sheriff's Office,County,Bee County ,Task Force Model,1/7/2026,link,
TEXAS,Bee County Sheriff's Office,County,Bee County ,Warrant Service Officer,2/24/2025,link,
TEXAS,Bell County Sheriff's Office,County ,Bell County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Bexar County Constable Precinct 3,Municipality,Bexar County,Task Force Model,12/12/2025,link,
TEXAS,Bexar County Sheriff's Office ,County ,Bexar County,Warrant Service Officer,10/17/2025,link,
TEXAS,Big Sandy Police Departement ,Municipality,Upshur County,Task Force Model,11/6/2025,link,
TEXAS,Borden County Sheriff's Office,County,Borden County,Task Force Model,12/2/2025,link,
TEXAS,Bosque County Sheriff's Office ,County ,Bosque County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Bowie County Sheriff's Office ,County ,Bowie County,Warrant Service Officer,10/17/2025,link,
TEXAS,Brazoria County Sheriff's Office,County ,Brazoria County,Warrant Service Officer,8/7/2025,link,
TEXAS,Brewster County Sheriff's Office,County,Brewster County,Warrant Service Officer,1/26/2026,link,
TEXAS,Brooks County Sheriff's Office,County,Brooks County,Jail Enforcement Model,6/11/2025,link,
TEXAS,Brooks County Sheriff's Office,County,Brooks County,Task Force Model,6/12/2025,link,
TEXAS,Brown County Sheriff's Office,County,Brown County,Warrant Service Officer,12/2/2025,link,
TEXAS,Bullard Police Department,Municipality,Smith County,Task Force Model,1/8/2026,link,
TEXAS,Burleson County Sheriff's Office,County,Burleson County,Warrant Service Officer,4/16/2025,link,
TEXAS,Burnet County Sheriff's Office,County,Burnet County ,Warrant Service Officer,11/5/2019,link,
TEXAS,Caldwell County Constable Precinct 2,County,Caldwell County,Task Force Model,2/10/2026,link pending,
TEXAS,Caldwell County Sheriff's Office,County,Caldwell County,Task Force Model,7/15/2025,link,
TEXAS,Caldwell County Sheriff's Office,County,Caldwell County,Warrant Service Officer,9/9/2025,link,
TEXAS,Calhoun County Sheriff’s Office,County,Calhoun County,Jail Enforcement Model,3/13/2020,link,
TEXAS,Calhoun County Sheriff's Office,County,Calhoun County ,Task Force Model,3/7/2025,link,
TEXAS,Calhoun County Sheriff's Office,County,Calhoun County ,Warrant Service Officer,2/24/2025,link,
TEXAS,Callahan County Sheriff's Office,County,Callahan County,Task Force Model,7/23/2025,link,
TEXAS,Callahan County Sheriff's Office,County,Callahan County,Warrant Service Officer,7/23/2025,link,
TEXAS,Cameron County Sheriff's Office ,County,Cameron County,Warrant Service Officer,1/26/2026,link,
TEXAS,Carson County Sheriff's Office,County ,Carson County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Cass County Sheriff's Office ,County,Cass County,Jail Enforcement Model,1/26/2026,link,
TEXAS,Cass County Sheriff's Office ,County,Cass County,Task Force Model,2/10/2026,link pending,
TEXAS,Castro County Sheriff's Office ,County ,Castro County ,Warrant Service Officer,10/17/2025,link,
TEXAS,Chambers County Sheriff’s Office,County,Chambers County,Jail Enforcement Model,6/9/2020,link,
TEXAS,Cherokee County Sheriff's Office,County,Cherokee County,Task Force Model,1/7/2026,link,
TEXAS,Childress County Sheriff's Office,County,Childress County,Warrant Service Officer,6/30/2025,link,
TEXAS,Clay County Sheriff's Office ,County,Clay County,Task Force Model,11/20/2025,link,
TEXAS,Clay County Sheriff's Office ,County,Clay County,Warrant Service Officer,11/20/2025,link,
TEXAS,Clifton Police Department ,Municipality,Bosque County,Task Force Model,9/22/2025,link,
TEXAS,Coke County Sheriff's Office,County,Coke County,Task Force Model,5/13/2025,link,
TEXAS,Collin County Sheriff's Office ,County,Collin County,Jail Enforcement Model,1/26/2026,link,
TEXAS,Colorado County Sheriff's Office,County,Colorado County,Jail Enforcement Model,5/22/2025,link,
TEXAS,Colorado County Sheriff's Office,County,Colorado County,Warrant Service Officer,12/2/2025,link,
TEXAS,Comal County Sheriff's Office ,County ,Comal County,Warrant Service Officer,10/17/2025,link,
TEXAS,Comanche County Sheriff's Office ,County ,Comanche County,Warrant Service Officer,11/4/2025,link,
TEXAS,Cooke County Sheriff's Office,County,Cooke County,Warrant Service Officer,7/24/2025,link,
TEXAS,Crosby County Sheriff's Office,County ,Crosby County,Warrant Service Officer,8/28/2025,link,
TEXAS,Cuero Police Department ,Municipality ,DeWitt County ,Task Force Model,12/10/2025,link,
TEXAS,Cumby Police Department,Municipality,Hopkins County ,Task Force Model,12/12/2025,link,
TEXAS,Dallam County Sheriff's Office,County ,Dallam County,Task Force Model,11/4/2025,link,
TEXAS,Dallam County Sheriff's Office,County,Dallam County,Warrant Service Officer,7/31/2025,link,
TEXAS,Deaf Smith County Sheriff's Office,County,Deaf Smith County,Warrant Service Officer,3/17/2025,link,
TEXAS,Delta County Sheriff's Office,County,Delta County,Task Force Model,pending,link pending,
TEXAS,Denton County Sheriff's Office,County,Denton County,Jail Enforcement Model,7/29/2025,link,
TEXAS,Denton County Sheriff's Office,County,Denton County,Task Force Model,1/26/2026,link,
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Jail Enforcement Model,6/8/2020,link,
TEXAS,DeWitt County Sheriff’s Office,County,DeWitt County,Warrant Service Officer,2/26/2025,link,
TEXAS,Dickens County Sheriff's Office,County,Dickens County,Warrant Service Officer,6/25/2025,link,
TEXAS,Dimmit County Sheriff's Office ,County,Dimmit County,Jail Enforcement Model,12/10/2025,link,
TEXAS,Dimmit County Sheriff's Office ,County,Dimmit County,Task Force Model,12/10/2025,link,
TEXAS,Dimmit County Sheriff's Office ,County,Dimmit County,Warrant Service Officer,12/10/2025,link,
TEXAS,East Mountain Police Department,Municipality ,Upshur County,Task Force Model,1/26/2026,link,
TEXAS,Eastland County Sheriff's Office ,County ,Eastland County ,Warrant Service Officer,9/22/2025,link,
TEXAS,Ector County Sheriff's Office,County ,Ector County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Ellis County Sheriff's Office,County,Ellis County,Jail Enforcement Model,4/16/2025,link,
TEXAS,Falfurrias Police Department ,Municipality,Brooks County,Task Force Model,11/4/2025,link,
TEXAS,Falls County Sheriff's Office,County,Falls County,Task Force Model,3/25/2025,link,
TEXAS,Fannin County Criminal District Attorney's Office,County,Fannin County,Task Force Model,1/26/2026,link,
TEXAS,Fannin County Sheriff's Office,County,Fannin County,Task Force Model,1/26/2026,link,
TEXAS,Fayette County Sheriff's Office,County,Fayette County ,Task Force Model,11/14/2025,link,
TEXAS,Fayette County Sheriff's Office,County,Fayette County ,Warrant Service Officer,3/21/2025,link,
TEXAS,Fort Bend County Sheriff's Office,County,Fort Bend County,Jail Enforcement Model,5/28/2025,link,
TEXAS,Fort Bend County Sheriff's Office,County,Fort Bend County,Warrant Service Officer,5/28/2025,link,
TEXAS,Franklin County Sheriff's Office,County,Franklin County,Jail Enforcement Model,5/20/2025,link,
TEXAS,Freer Police Department ,Municipality,Duval County,Task Force Model,11/6/2025,link,
TEXAS,Freestone County Constable Precinct 2,Municipality,Freestone County ,Task Force Model,12/8/2025,link,
TEXAS,Freestone County Constable Precinct 3,County,Freestone County,Task Force Model,1/26/2026,link,
TEXAS,Frio County Sheriff's Office ,County ,Frio County ,Jail Enforcement Model ,9/22/2025,link,
TEXAS,Frio County Sheriff's Office ,County ,Frio County ,Task Force Model,9/22/2025,link,
TEXAS,Frio County Sheriff's Office ,County ,Frio County ,Warrant Service Officer,9/22/2025,link,
TEXAS,Gaines County Sheriff's Office,County,Gaines County,Warrant Service Officer,7/31/2025,link,
TEXAS,Galveston County Constable Precinct 2,Municipality,Galveston County,Task Force Model,9/22/2025,link,
TEXAS,Galveston County Constable's Office Pct.1,Municipality,Galveston County,Task Force Model,9/9/2025,link,
TEXAS,Galveston County Constable's Office Pct.4,Municipality,Galveston County,Task Force Model,9/9/2025,link,
TEXAS,Galveston County Sheriff’s Office,County,Galveston County,Jail Enforcement Model,6/8/2020,link,
TEXAS,Galveston County Sheriff's Office,County,Galveston County,Task Force Model,7/23/2025,link,
TEXAS,Galveston County Sheriff's Office,County,Galveston County,Warrant Service Officer,3/26/2025,link,
TEXAS,Garza County Sheriff's Office,County,Garza County,Warrant Service Officer,7/7/2025,link,
TEXAS,Goliad County Sheriff’s Office,County,Goliad County,Jail Enforcement Model,6/9/2020,link,
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Task Force Model,2/18/2025,link,
TEXAS,Goliad County Sheriff's Office,County,Goliad County ,Warrant Service Officer,2/18/2025,link,
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Jail Enforcement Model,2/10/2026,link pending,
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Task Force Model,2/11/2026,link pending,
TEXAS,Gonzales County Sheriff's Office,County,Gonzales County,Warrant Service Officer,4/2/2025,link,
TEXAS,Gray County Sheriff's Office ,County ,Gray County ,Warrant Service Officer,8/28/2025,link,
TEXAS,Grayson County Sheriff’s Office,County,Grayson County,Jail Enforcement Model,3/21/2025,link,
TEXAS,Grayson County Sheriff's Office ,County ,Grayson County,Warrant Service Officer,10/17/2025,link,
TEXAS,Gregg County Sheriff's Office,County,Gregg County,Jail Enforcement Model,3/17/2025,link,
TEXAS,Guadalupe County Sheriff's Office ,County,Guadalupe County ,Jail Enforcement Model ,12/2/2025,link,
TEXAS,Hale County Sheriff's Office,County ,Hale County,Warrant Service Officer,8/4/2025,link,
TEXAS,Hallettsville Police Department,Municipality ,Lavaca County,Task Force Model,1/26/2026,link,
TEXAS,Hamilton County Sheriff's Office ,County,Hamilton County,Task Force Model,4/10/2025,link,
TEXAS,Hardeman County Sheriff's Office,County,Hardeman County,Warrant Service Officer,6/25/2025,link,
TEXAS,Harrison County Sheriff's Office,County,Harrison County ,Warrant Service Officer,2/24/2025,link,
TEXAS,Hartley County Sheriff's Office,County,Hartley County,Task Force Model,7/23/2025,link,
TEXAS,Haskell Police Department,Municipality ,Haskell County,Task Force Model,1/26/2026,link,
TEXAS,Hemphill County Sheriff's Office,County,Hemphill County,Warrant Service Officer,7/24/2025,link,
TEXAS,Henderson County Sheriff's Office ,County ,Henderson County ,Warrant Service Officer,10/17/2025,link,
TEXAS,Hidalgo County Sheriff's Office ,County ,Hidalgo County ,Warrant Service Officer,10/17/2025,link,
TEXAS,Hill County Sheriff's Office,County,Hill County,Warrant Service Officer,5/7/2025,link,
TEXAS,Hockley County Sheriff's Office,County ,Hockley County,Warrant Service Officer,8/4/2025,link,
TEXAS,Holland Police Department ,Municipality,Bell County,Task Force Model,11/4/2025,link,
TEXAS,Hollywood Park Police Department,Municipality ,Bexar County,Task Force Model,1/26/2026,link,
TEXAS,Hood County Sheriff's Office,County,Hood County,Task Force Model,1/30/2026,link,
TEXAS,Hood County Sheriff's Office,County,Hood County,Warrant Service Officer,5/13/2025,link,
TEXAS,Hopkins County Sheriff's Office ,County ,Hopkins County,Task Force Model,1/26/2026,link,
TEXAS,Hopkins County Sheriff's Office ,County ,Hopkins County,Warrant Service Officer,10/17/2025,link,
TEXAS,Houston County Sheriff's Office,County,Houston County,Warrant Service Officer,4/2/2025,link,
TEXAS,Howard County Sheriff's Office ,County ,Howard County ,Warrant Service Officer,10/17/2025,link,
TEXAS,Ingram Police Department ,Municipality,Kerr County,Task Force Model,10/17/2025,link,
TEXAS,Jack County Sheriff's Office,County,Jack County,Warrant Service Officer,7/24/2025,link,
TEXAS,Jackson County Sheriff's Office,County,Jackson County ,Jail Enforcement Model,6/8/2020,link,
TEXAS,Jackson County Sheriff's Office,County,Jackson County ,Task Force Model,10/17/2025,link,
TEXAS,Jackson County Sheriff's Office ,County,Jackson County  ,Warrant Service Officer,2/24/2025,link,
TEXAS,Jasper County Sheriff's Office ,County ,Jasper County ,Warrant Service Officer,8/7/2025,link,
TEXAS,Jefferson County Sheriff's Office,County,Jefferson County,Task Force Model,6/30/2025,link,
TEXAS,Jefferson County Sheriff's Office,County,Jefferson County,Warrant Service Officer,6/30/2025,link,
TEXAS,Jefferson Police Department ,Municipality,Marion County,Task Force Model,12/18/2025,link,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County ,Jail Enforcement Model,2/28/2025,link,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Task Force Model,3/25/2025,link,
TEXAS,Jim Wells County Sheriff's Office,County,Jim Wells County,Warrant Service Officer,3/26/2025,link,
TEXAS,Johnson County Sheriff's Office ,County,Johnson County ,Jail Enforcement Model ,12/2/2025,link,
TEXAS,Karnes County Sheriff's Office ,County ,Karnes County,Warrant Service Officer,10/17/2025,link,
TEXAS,Kaufman County Sheriff's Office ,County,Kaufman County,Jail Enforcement Model,1/26/2026,link,
TEXAS,Keller Police Department ,Municipality,Tarrant County,Warrant Service Officer,8/28/2025,link,
TEXAS,Kendall County Sheriff's Office,County,Kendall County ,Warrant Service Officer,12/23/2020,link,
TEXAS,Kenedy County Sheriff's Office,County,Kenedy County,Task Force Model,2/10/2026,link pending,
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Jail Enforcement Model,5/2/2025,link,
TEXAS,Kerr County Sheriff's Office,County,Kerr County,Task Force Model,5/8/2025,link,
